--- Sheet: Summary  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,
,,,pit sand,3,m3,
,,,cement,18,Bag,
,,,rhinoset,5,25kgs,
,,,undercoat,10,ltr,
,,,Int PVA,29,ltr,
2,Woodfloat plaster,m2,435.12,,,
,,,pit sand,10,m3,
,,,cement,96,Bag,
,,,undercoat,42,ltr,
,,,Ext PVA,127,ltr,
3,Plasterboard ceilings,m2,76.8,,,
,,,Rhinobond,16,25kgs,
,,,Plasterboard,27,(2400 x 1200)m2,
,,,ceiling white,16,ltr,
,,,clout nails,806,no ,
,,,brandering,384,m,
,,,covebond,4,25kgs,
4,Cill ( quarry tiles),m,0,,,
,,,Tiles ,0,no.,
,,,pit sand,0,m3,
,,,cement,0,bag,
5,300 x 300 Vinyl tiles,m2,71.3,,,
,,,tiles,832,no.,
,,,tylon,7,5kg,
,,,tile adhesive,12,20kg,
6,150 x 150 Quarry floor tiles,m2,71.3,,,
,,,tiles,3327,no.,
,,,pit sand,2,m3,
,,,cement,13,bag,
7,150 x 150 mm White glazed wall tiles,m2,17,,,
,,,tiles,893,no.,
,,,tylon,2,5kg,
,,,tile adhesive,3,20kg,
8,Painting to metal,m2,550,,,
,,,undercoat,53,ltr,
,,,metal primer,53,ltr,
,,,high gloss,105,ltr,
9,Painting to wood,m2,1896,,,
,,,undercoat,182,ltr,
,,,wood primer,182,ltr,
,,,high gloss,363,ltr,

--- Sheet: Roof  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,,
,ROOF COVERINGS,,,,,,,,,
1,Concrete roof tiles,m2,0,,,,,,,
,,,no.,0,,,,,,
2,Roof nails,m2,0,,,,,,,
,,,kg,0,,,,,,
3,Battens,m2,0,,,,,,,
,,,m,0,,,,,,
4,Skirting,m,0,,,,,,,
,,,varnish,0,ltr,,,,,
5,Pelmets,m,0,,,,,,,
,,,varnish,0,ltr,,,,,
6,Wall plate,m,0,,,,,,,
,,,GI hoop iron ties,0,,,,,,
,,,carbolineum,0,,,,,,

--- Sheet: Additional data ---
,,,ADDITIONAL ESTIMATING DATA,,,,,,,,,
A. WHEEL & TIP BY HAND BARROW,,,,,,,,,,,,
a) Hauling not exceeding 20m,,,,,1 lab,,180wb/day,,,,,
b) Ditto 50m,,,,,1 lab,,70wb/day,,,,,
c) Ditto 100m,,,,,1 lab,,36wb/day,,,,,
B. COMPACTION ( avarage 150mm thick ),,,,,,,,,,,,
a) Plate compactor,,,,,1 lab,,50m2/day,,,,,
b) Bomag pedastrian roller,,,,,1 lab,,75m2/day,,,,,
c) hand ramming ,,,,,1 lab,,35m2/day,,,,,
C. TIMBERING & SHORING TRENCHES,,,,,,,,,,,,
a) Both sides to trenches not exceeding 2m deep,,,,,1 lab,,12m/day,,,,,
b) Ditto 3m deep,,,,,,,8m/day,,,,,
c) Ditto 4m deep,,,,,,,5m/day,,,,,
d) Ditto 6m deep,,,,,,,2.5m/day,,,,,
D. STEEL FIXING ,,,,,,,,,,,,
"a) Beams,floors,roofs & walls ",,,,,1 lab,,1ton/day,,,,,
b) Braces column slopes ,,,,,1 lab,,0.5ton/day,,,,,
c) Hoisting not exceeding 3m from ground,,,,,1 lab,,4ton/day,,,,,
d) Ditto 9m,,,,,1 lab,,2.5ton/day,,,,,
e) Ditto 15m,,,,,1 lab,,2ton/day,,,,,
f) Ditto 20m,,,,,1 lab,,1.5ton/day,,,,,
E. WALL & FLOOR TILING ,,,,,,,,,,,,
Labour - Gang based on 1 Carpenter / Plumber and 2 Assistants,,,,,,,,,,,,
a) Ceramic wall tiles ,,,,,gang ,,6m2/day,,,,,
b) Quarry wall & floor tiles,,,,,gang ,,10m2/day,,,,,
c) Sloping wall tiles ,,,,,gang ,,3m2/day,,,,,
d) Vinyl tiles in boxes,,,,,gang ,,10m2/day,,,,,
e) Ditto in sheets ,,,,,gang ,,20m2/day,,,,,
f) Carperting laying ,,,,,gang ,,100/day,,,,,
g) Cladding ,,,,,gang ,,100/day,,,,,
h) Concrete roofing tiles,,,,,gang ,,100/day,,,,,
F. PLUMBING,,,,,,,,,,,,
a) Sanitary fittings ,,,,,gang ,,3no/day,,,,,
b) Pipe & accessories - water ,,,,,gang ,,30m/day,,,,,
c) Pipe & accessories - sewer,,,,,gang ,,59m/day,,,,,
d) Accessories,,,,,gang ,,,,,,,
e) Gutters & down pipes ,,,,,gang ,,14m/day,,,,,
,,,ADDITIONAL ESTIMATING DATA,,,,,,,,,
A. CONCRETE ,,,,,,,,,,,,
a) Mixing by hand ,,,,,,,8hrs/m3,,,,,
,,,,,,,,,,,," 226,266.00 "
B. Panda,,,,,,,,,,,," 266,993.88 "
,,,,,,,,,,,," 40,727.88 "
a) 600 x 600 x 50mm Pcc paving blocks ,,,,,1 Pallet , =,405 No.,,,,,
b) 80mm Pcc interlocking pavers ,,,,,1 Pallet , =,500 bricks,,,,,
Ditto above transportted by Superlink,,,,,1 load, =,26 Pallets,,,,,

--- Sheet: Estimating data ---
,,,ESTIMATING DATA,,,,,,,,,,
,,,GROUND WORKS,,,,,,,,,,
A. SITE CLEARANCE,,,,,,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,,2.222222222,m3 per hour ,,0.45,hrs per m3
B. EXCAVATIONS,,,,,,,,,,,,,
"1, Normal pickable ground",,,,,,,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,,0.222222222,m3 per hour ,,4.5,hrs per m3
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,,0.166666667,m3 per hour ,,6,hrs per m3
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,,0.111111111,m3 per hour ,,,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,,,,,,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,,,,,,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,,,,,,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,,,,,,
"2, Hard pickable ground",,,,,,,,,,,,,
"    As above, but +250%",,,,,1 Lab,,,,,,,,
"3, Rock excavation",,,,,,,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,,,,,,
C. DISPOSALS,,,,,,,,,,,,,
    ,,,,,,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,,,,,,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,,,,,3.6,hrs per m3
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,,,,,3,hrs per m3
d) Compacting,,,,,1 Lab,,35m2/day,,,,,0.257142857,hrs per m2
e) Load for disposal,,,,,1 Lab,,1.5m3/day,,,,,6,hrs per m3
,,,BRICKWORK AND BLOCKWORK,,,,,,,,,,
 NB,,,,,,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,,,,,,
All data based on gang of 1 Bricklayer + 2 Assistants,,,,,,,,,,,,,
Scaffolding not included,,,,,,,,,,,,,
BRICKWORK,,,,,,,,,,,,,
Common brickwork:,,,,,,,,,,,,,
"In foundations, ",,,,,,,,,,,,,
,,,Half brick thick,,,,375/day,,6.818181818,m2,1.285714286,hrs per m2,
,,,One brick thick,,,,400/day,,3.636363636,m2,2.25,hrs per m2,
,,,One and half brick thick,,,,425/day,,,,,,
"In superstructure up to 2 storeys,",,,,,,,,,,,,,
,,,Half brick thick,,,,350/day,,,,,,
,,,One brick thick,,,,380/day,,,,,,
,,,One and half brick thick,,,,400/day,,,,,,
,,,ESTIMATING DATA,,,,,,,,,,
,,,BRICKWORK AND BLOCKWORK,,,,,,,,,,
Facing brickwork:,,,,,,,,,,,,,
"In foundations,",,,,,,,,,,,,,
,,,Half brick thick,,,,325/day,,,,,,
,,,One brick thick,,,,340/day,,,,,,
"In superstructure up to 2 storeys,",,,,,,,,,,,,,
,,,Half brick thick,,,,300/day,,,,,,
,,,One brick thick,,,,325/day,,,,,,
Composite brickwork ( faced on side ),,,,,,,,,,,,,
"In foundations,",,,,,,,,,,,,,
,,,One brick thick,,,,350/day,,,,,,
"In superstructure up to 2 storeys,",,,,,,,,,,,,,
,,,One brick thick,,,,330/day,,,,,,
Mortar,,,,,,,,,,,,,
Mixing by hand,,,,,,,8hrs/m3,1.125,,,,,
,,,BLOCKWORK,,,,,,,,,,
115mm blockwork:,,,,,,,,,,,,,
In foundations,,,,,,,180/day,,,,,,
In superstructure,,,,,,,150/day,,,,,,
230mm blockwork:,,,,,,,,,,,,,
In foundations,,,,,,,150/day,,,,,,
In superstructure,,,,,,,120/day,,,,,,
,,,SUNDRIES,,,,,,,,,,
Beam filling,,,,,,,3m/hr/skin,,,,,,
Rough cutting,,,,,,,2.5hrs/m2,,,,,,
Cutting pipe chases,,,,,,,1.5hrs/m,,,,,,
Copings,,,,,,,0.75hrs/m,,,,,,
Fair cuttings,,,,,,,1hr/m,,,,,,
Cut small holes,,,,,,,1hr/skin,,,,,,
