--- Sheet: OUTPUT ---
,,,ESTIMATING DATA,,,,,
,,,GROUND WORKS,,,,,
A. SITE CLEARANCE,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,
B. EXCAVATIONS,,,,,,,,
"1, Normal pickable ground",,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,
"2, Hard pickable ground",,,,,,,,
"    As above, but +250%",,,,,1 Lab,, 0.40 ,
"3, Rock excavation",,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,
C. DISPOSALS,,,,,,,,
    ,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,
d) Compacting,,,,,1 Lab,,35m2/day,
e) Load for disposal,,,,,1 Lab,,1.5m3/day,
,,,BRICKWORK AND BLOCKWORK,,,,,
 NB,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,
,,,YIELDS  Per  SACK,,,,,
,,,,Mix 1:6,Mix 1:8,Mix 1:10,Mix 1:12,
A.,,,,23,29,37,43,
B.,,,,14,18,23,27,
C.,,,,17,22,28,32,
Mortar in filling 230mm hollow blocks                0.013m3/block             =         0.124m3/m2,,,,,,,,
Mortar in filling 115mm hollow blocks                0.007m3/block             =         0.067m3/m2,,,,,,,,
,,,ROOFING,,,,,
Sheets,,,,1+4,,,6sheets/hr,
Mitring,,,,1+1,,,20sheets/hour,
Fix barge and fascia board,,,,1+2,,,5m/hr,
Fix IBR roof sheeting,,,,1+4,,,6m2/hr,
Fix tiling battens,,,,1+2,,,10m2/3hrs,
CARPENTRY,,,,,,,,
Fix purlins,,,,1+2,,,20m/hr,
Fix rafters,,,,1+2,,,14m/hr,
Fix trusses ( 8m ),,,,1+4,,,4No/day,
Fix sprockets,,,,1+2,,,3m/hr,
Fix joists,,,,1+2,,,15m/hr,
Fix hangers,,,,1+2,,,3m/hr,
,,,ESTIMATING DATA,,,,,
CARPENTRY,,,,,,,,
JOINERY,,,,,,,,
Fix brandering one way,,,,1+2,,,3m2/hr,
Fix ceilings,,,,1+3,,,2m2/hr,
Fix cover strip,,,,1+2,,,20m/hr,
Fix cornice,,,,1+2,,,15m/hr,
Fix skirting,,,,1+2,,,10m/hr,
Fix framing,,,,1+1,,,6m/hr,
Cut and fix blocked shelving,,,,1+1,,,2hrs/sheet,
Fix pre-cut shelving,,,,1+1,,,6m/hr,
Hang doors,,,,1+2,,,1No /hr,
Plugging,,,,1+1,,,8plugs/hr,
Screwing,,,,1+1,,,20/hr,
IRONMONGERY & SUNDRIES,,,,,,,,
Mortice lock,,,,1+1,,,1hr/each,
Indicator lock,,,,1,,,0.75hrs/each,
Shelf brackets,,,,Allow plugs and screws,,,,
Curtain track,,,,1+1,,,2m/hr,
,Rhinoset coverage,,,,,,14m2/25kg bag,
,Rhinobond coverage,,,,,,6m2/25kg bag,
,,,,Turnall Products,,,,
,Endurites,,,,,,0.875 wide,
,Traffold tiles,,,,,,1.015 wide,
,Brickforce  ( per 4 courses ),,,,,,2.94m/m2,
,,,ESTIMATING DATA,,,,,
,Wheelbarrow,,,,,,0.057m3,
,Sack cement,,,,,,0.034m3,
,,,,Grout,,,,
,,,a+b,xcxdx1.7,kg/m2,,,
,,,axb,,,,,
,,where a  - length of tile,,,,,,
,,          b  - width of tile,,,,,,
,,          c  - thickness of tile,,,,,,
,,         d   - average joint width,,,,,,

--- Sheet: EST  CONSTANTS ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,,,
,WET TRADES,,,,,,,,,,
,,SUBSTRUCTURE,,,,,,,,,
